location,population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,4/30/2021,13232,17.13
Andorra,77265,4/29/2021,13198,17.08
Andorra,77265,4/28/2021,13148,17.02
Andorra,77265,4/27/2021,13121,16.98
Andorra,77265,4/26/2021,13083,16.93
Andorra,77265,4/25/2021,13060,16.9
Andorra,77265,4/24/2021,13024,16.86
Andorra,77265,4/23/2021,13007,16.83
Andorra,77265,4/22/2021,12942,16.75
Andorra,77265,4/21/2021,12917,16.72
Andorra,77265,4/20/2021,12874,16.66
Andorra,77265,4/18/2021,12805,16.57
Andorra,77265,4/19/2021,12805,16.57
Andorra,77265,4/17/2021,12771,16.53
Andorra,77265,4/16/2021,12712,16.45
Andorra,77265,4/14/2021,12641,16.36
Andorra,77265,4/15/2021,12641,16.36
Andorra,77265,4/13/2021,12614,16.33
Andorra,77265,4/12/2021,12581,16.28
Andorra,77265,4/11/2021,12545,16.24
Andorra,77265,4/10/2021,12497,16.17
Andorra,77265,4/9/2021,12456,16.12
Andorra,77265,4/8/2021,12409,16.06
Andorra,77265,4/7/2021,12363,16
Andorra,77265,4/6/2021,12328,15.96
Andorra,77265,4/5/2021,12286,15.9
Andorra,77265,4/4/2021,12231,15.83
Andorra,77265,4/3/2021,12174,15.76
Andorra,77265,4/2/2021,12115,15.68
Andorra,77265,4/1/2021,12053,15.6
Andorra,77265,3/31/2021,12010,15.54
Montenegro,628062,4/30/2021,97389,15.51
Montenegro,628062,4/29/2021,97257,15.49
Montenegro,628062,4/28/2021,97080,15.46
Andorra,77265,3/30/2021,11944,15.46
Montenegro,628062,4/27/2021,96930,15.43
Montenegro,628062,4/26/2021,96779,15.41
Montenegro,628062,4/25/2021,96660,15.39
Andorra,77265,3/29/2021,11888,15.39
Montenegro,628062,4/24/2021,96499,15.36
Montenegro,628062,4/23/2021,96348,15.34
Andorra,77265,3/28/2021,11850,15.34
Montenegro,628062,4/22/2021,96187,15.31
Montenegro,628062,4/21/2021,96048,15.29
Andorra,77265,3/27/2021,11809,15.28
Montenegro,628062,4/20/2021,95894,15.27
Montenegro,628062,4/19/2021,95695,15.24
Czechia,10708982,4/30/2021,1630758,15.23
Czechia,10708982,4/29/2021,1628536,15.21
Montenegro,628062,4/18/2021,95551,15.21
Montenegro,628062,4/17/2021,95377,15.19
Czechia,10708982,4/28/2021,1626033,15.18
Andorra,77265,3/26/2021,11732,15.18
Montenegro,628062,4/16/2021,95205,15.16
Czechia,10708982,4/27/2021,1622777,15.15
Czechia,10708982,4/26/2021,1620206,15.13
Andorra,77265,3/25/2021,11687,15.13
Montenegro,628062,4/15/2021,95042,15.13
Czechia,10708982,4/25/2021,1619383,15.12
Czechia,10708982,4/24/2021,1618068,15.11
Montenegro,628062,4/14/2021,94859,15.1
Czechia,10708982,4/23/2021,1615461,15.09
Montenegro,628062,4/13/2021,94643,15.07
Czechia,10708982,4/22/2021,1612832,15.06
Andorra,77265,3/24/2021,11638,15.06
Czechia,10708982,4/21/2021,1609861,15.03
Montenegro,628062,4/12/2021,94419,15.03
Montenegro,628062,4/11/2021,94269,15.01
Czechia,10708982,4/20/2021,1606030,15
Andorra,77265,3/23/2021,11591,15
Czechia,10708982,4/19/2021,1602711,14.97
Montenegro,628062,4/10/2021,94035,14.97
Czechia,10708982,4/18/2021,1601881,14.96
Czechia,10708982,4/17/2021,1600341,14.94
Andorra,77265,3/22/2021,11545,14.94
Montenegro,628062,4/9/2021,93803,14.94
San Marino,33938,4/30/2021,5066,14.93
San Marino,33938,4/28/2021,5059,14.91
San Marino,33938,4/29/2021,5060,14.91
Andorra,77265,3/21/2021,11517,14.91
Czechia,10708982,4/16/2021,1597103,14.91
San Marino,33938,4/27/2021,5058,14.9
Montenegro,628062,4/8/2021,93566,14.9
San Marino,33938,4/26/2021,5055,14.89
Czechia,10708982,4/15/2021,1593847,14.88
San Marino,33938,4/22/2021,5045,14.87
San Marino,33938,4/23/2021,5047,14.87
San Marino,33938,4/24/2021,5047,14.87
San Marino,33938,4/25/2021,5047,14.87
San Marino,33938,4/21/2021,5044,14.86
Andorra,77265,3/20/2021,11481,14.86
Montenegro,628062,4/7/2021,93309,14.86
San Marino,33938,4/20/2021,5040,14.85
Czechia,10708982,4/14/2021,1590124,14.85
San Marino,33938,4/19/2021,5030,14.82
San Marino,33938,4/17/2021,5026,14.81
San Marino,33938,4/18/2021,5026,14.81
Montenegro,628062,4/6/2021,93030,14.81
Czechia,10708982,4/13/2021,1585037,14.8
Andorra,77265,3/19/2021,11431,14.79
San Marino,33938,4/16/2021,5016,14.78
Czechia,10708982,4/12/2021,1581184,14.77
Montenegro,628062,4/5/2021,92740,14.77
San Marino,33938,4/15/2021,5010,14.76
Czechia,10708982,4/11/2021,1580189,14.76
Andorra,77265,3/18/2021,11393,14.75
Czechia,10708982,4/10/2021,1577972,14.74
San Marino,33938,4/14/2021,5004,14.74
Montenegro,628062,4/4/2021,92519,14.73
Andorra,77265,3/17/2021,11360,14.7
Czechia,10708982,4/9/2021,1573153,14.69
San Marino,33938,4/13/2021,4985,14.69
Montenegro,628062,4/3/2021,92222,14.68
Andorra,77265,3/16/2021,11319,14.65
Czechia,10708982,4/8/2021,1567848,14.64
Montenegro,628062,4/2/2021,91906,14.63
San Marino,33938,4/12/2021,4962,14.62
Andorra,77265,3/15/2021,11289,14.61
San Marino,33938,4/10/2021,4956,14.6
San Marino,33938,4/11/2021,4956,14.6
Andorra,77265,3/14/2021,11266,14.58
Montenegro,628062,4/1/2021,91573,14.58
San Marino,33938,4/9/2021,4944,14.57
Czechia,10708982,4/7/2021,1560777,14.57
Andorra,77265,3/13/2021,11228,14.53
San Marino,33938,4/8/2021,4932,14.53
Montenegro,628062,3/31/2021,91218,14.52
Czechia,10708982,4/6/2021,1555245,14.52
Czechia,10708982,4/5/2021,1553820,14.51
Czechia,10708982,4/4/2021,1551896,14.49
Andorra,77265,3/12/2021,11199,14.49
Czechia,10708982,4/3/2021,1549734,14.47
Montenegro,628062,3/30/2021,90832,14.46
San Marino,33938,4/7/2021,4904,14.45
Czechia,10708982,4/2/2021,1545865,14.44
Andorra,77265,3/10/2021,11130,14.4
Andorra,77265,3/11/2021,11130,14.4
Montenegro,628062,3/29/2021,90418,14.4
Czechia,10708982,4/1/2021,1539617,14.38
Andorra,77265,3/9/2021,11089,14.35
Montenegro,628062,3/28/2021,90083,14.34
Andorra,77265,3/8/2021,11069,14.33
San Marino,33938,4/6/2021,4864,14.33
Czechia,10708982,3/31/2021,1532332,14.31
Andorra,77265,3/7/2021,11042,14.29
Montenegro,628062,3/27/2021,89732,14.29
Andorra,77265,3/6/2021,11019,14.26
Andorra,77265,3/5/2021,10998,14.23
Czechia,10708982,3/30/2021,1523668,14.23
Montenegro,628062,3/26/2021,89363,14.23
Andorra,77265,3/4/2021,10976,14.21
Andorra,77265,3/3/2021,10948,14.17
Montenegro,628062,3/25/2021,88991,14.17
Czechia,10708982,3/29/2021,1516772,14.16
Czechia,10708982,3/28/2021,1515029,14.15
Andorra,77265,3/2/2021,10908,14.12
Czechia,10708982,3/27/2021,1511021,14.11
Montenegro,628062,3/24/2021,88550,14.1
Andorra,77265,3/1/2021,10889,14.09
San Marino,33938,4/2/2021,4775,14.07
San Marino,33938,4/3/2021,4775,14.07
San Marino,33938,4/4/2021,4775,14.07
San Marino,33938,4/5/2021,4775,14.07
Andorra,77265,2/28/2021,10866,14.06
Andorra,77265,2/27/2021,10849,14.04
Czechia,10708982,3/26/2021,1503307,14.04
Montenegro,628062,3/23/2021,88116,14.03
Andorra,77265,2/26/2021,10822,14.01
Andorra,77265,2/25/2021,10799,13.98
Czechia,10708982,3/25/2021,1495361,13.96
Andorra,77265,2/24/2021,10775,13.95
Montenegro,628062,3/22/2021,87638,13.95
San Marino,33938,3/31/2021,4730,13.94
San Marino,33938,4/1/2021,4730,13.94
Andorra,77265,2/23/2021,10739,13.9
Montenegro,628062,3/21/2021,87212,13.89
Czechia,10708982,3/24/2021,1486510,13.88
Andorra,77265,2/22/2021,10712,13.86
Andorra,77265,2/21/2021,10699,13.85
Montenegro,628062,3/20/2021,86782,13.82
Andorra,77265,2/20/2021,10672,13.81
Andorra,77265,2/19/2021,10645,13.78
Czechia,10708982,3/23/2021,1475538,13.78
San Marino,33938,3/30/2021,4678,13.78
Montenegro,628062,3/19/2021,86282,13.74
Andorra,77265,2/18/2021,10610,13.73
Czechia,10708982,3/21/2021,1469547,13.72
Czechia,10708982,3/22/2021,1467333,13.7
Andorra,77265,2/17/2021,10583,13.7
Andorra,77265,2/16/2021,10555,13.66
Montenegro,628062,3/18/2021,85774,13.66
San Marino,33938,3/29/2021,4631,13.65
Andorra,77265,2/15/2021,10538,13.64
Czechia,10708982,3/20/2021,1459406,13.63
Andorra,77265,2/14/2021,10503,13.59
Montenegro,628062,3/17/2021,85253,13.57
San Marino,33938,3/27/2021,4603,13.56
San Marino,33938,3/28/2021,4603,13.56
Andorra,77265,2/13/2021,10463,13.54
Czechia,10708982,3/19/2021,1449696,13.54
Andorra,77265,2/12/2021,10427,13.5
Montenegro,628062,3/16/2021,84700,13.49
Andorra,77265,2/11/2021,10391,13.45
Czechia,10708982,3/18/2021,1439019,13.44
Andorra,77265,2/10/2021,10352,13.4
Montenegro,628062,3/15/2021,84163,13.4
San Marino,33938,3/26/2021,4547,13.4
Andorra,77265,2/9/2021,10312,13.35
Czechia,10708982,3/17/2021,1426991,13.33
Montenegro,628062,3/14/2021,83693,13.33
Andorra,77265,2/8/2021,10275,13.3
Andorra,77265,2/7/2021,10251,13.27
Montenegro,628062,3/13/2021,83165,13.24
San Marino,33938,3/24/2021,4484,13.21
San Marino,33938,3/25/2021,4484,13.21
Andorra,77265,2/6/2021,10206,13.21
Czechia,10708982,3/16/2021,1412962,13.19
Andorra,77265,2/5/2021,10172,13.17
Montenegro,628062,3/12/2021,82610,13.15
Andorra,77265,2/4/2021,10137,13.12
Czechia,10708982,3/15/2021,1402420,13.1
Czechia,10708982,3/14/2021,1399078,13.06
Montenegro,628062,3/11/2021,82029,13.06
San Marino,33938,3/23/2021,4432,13.06
Andorra,77265,2/3/2021,10070,13.03
Czechia,10708982,3/13/2021,1392108,13
Montenegro,628062,3/10/2021,81457,12.97
Andorra,77265,2/2/2021,10017,12.96
San Marino,33938,3/22/2021,4388,12.93
Andorra,77265,2/1/2021,9972,12.91
Montenegro,628062,3/9/2021,80803,12.87
Andorra,77265,1/31/2021,9937,12.86
Czechia,10708982,3/12/2021,1376998,12.86
San Marino,33938,3/20/2021,4356,12.84
San Marino,33938,3/21/2021,4356,12.84
Andorra,77265,1/30/2021,9885,12.79
Montenegro,628062,3/8/2021,80191,12.77
San Marino,33938,3/19/2021,4328,12.75
Czechia,10708982,3/11/2021,1365724,12.75
Andorra,77265,1/29/2021,9837,12.73
Montenegro,628062,3/7/2021,79774,12.7
Andorra,77265,1/28/2021,9779,12.66
San Marino,33938,3/18/2021,4292,12.65
Montenegro,628062,3/6/2021,79237,12.62
Czechia,10708982,3/10/2021,1351195,12.62
Andorra,77265,1/27/2021,9716,12.57
San Marino,33938,3/17/2021,4249,12.52
Montenegro,628062,3/5/2021,78634,12.52
Andorra,77265,1/26/2021,9638,12.47
Czechia,10708982,3/9/2021,1335815,12.47
Montenegro,628062,3/4/2021,78060,12.43
Andorra,77265,1/25/2021,9596,12.42
San Marino,33938,3/16/2021,4204,12.39
Czechia,10708982,3/8/2021,1325291,12.38
Andorra,77265,1/24/2021,9549,12.36
Czechia,10708982,3/7/2021,1321331,12.34
Montenegro,628062,3/3/2021,77493,12.34
Andorra,77265,1/23/2021,9499,12.29
Czechia,10708982,3/6/2021,1312164,12.25
Montenegro,628062,3/2/2021,76868,12.24
San Marino,33938,3/15/2021,4151,12.23
Andorra,77265,1/22/2021,9416,12.19
San Marino,33938,3/13/2021,4126,12.16
San Marino,33938,3/14/2021,4126,12.16
Montenegro,628062,3/1/2021,76283,12.15
Andorra,77265,1/21/2021,9379,12.14
Czechia,10708982,3/5/2021,1299002,12.13
Montenegro,628062,2/28/2021,75834,12.07
San Marino,33938,3/12/2021,4096,12.07
Andorra,77265,1/20/2021,9308,12.05
Czechia,10708982,3/4/2021,1284288,11.99
Montenegro,628062,2/27/2021,75332,11.99
San Marino,33938,3/11/2021,4062,11.97
Montenegro,628062,2/26/2021,74789,11.91
Andorra,77265,1/19/2021,9194,11.9
San Marino,33938,3/10/2021,4030,11.87
Czechia,10708982,3/3/2021,1269058,11.85
Montenegro,628062,2/25/2021,74183,11.81
Andorra,77265,1/17/2021,9083,11.76
Andorra,77265,1/18/2021,9083,11.76
San Marino,33938,3/9/2021,3984,11.74
Montenegro,628062,2/24/2021,73612,11.72
Andorra,77265,1/16/2021,9038,11.7
Czechia,10708982,3/2/2021,1252242,11.69
Montenegro,628062,2/23/2021,72969,11.62
San Marino,33938,3/8/2021,3935,11.59
Czechia,10708982,3/1/2021,1240051,11.58
Andorra,77265,1/15/2021,8946,11.58
San Marino,33938,3/6/2021,3922,11.56
San Marino,33938,3/7/2021,3922,11.56
Slovenia,2078932,4/30/2021,240292,11.56
Czechia,10708982,2/28/2021,1235480,11.54
Montenegro,628062,2/22/2021,72395,11.53
Slovenia,2078932,4/29/2021,239339,11.51
San Marino,33938,3/5/2021,3896,11.48
Andorra,77265,1/14/2021,8868,11.48
Slovenia,2078932,4/28/2021,238421,11.47
Montenegro,628062,2/21/2021,71995,11.46
Czechia,10708982,2/27/2021,1227595,11.46
Slovenia,2078932,4/27/2021,238023,11.45
Slovenia,2078932,4/26/2021,237219,11.41
Andorra,77265,1/13/2021,8818,11.41
Slovenia,2078932,4/25/2021,237028,11.4
Montenegro,628062,2/20/2021,71593,11.4
San Marino,33938,3/4/2021,3867,11.39
Slovenia,2078932,4/24/2021,236613,11.38
Slovenia,2078932,4/23/2021,235711,11.34
Czechia,10708982,2/26/2021,1212780,11.32
Montenegro,628062,2/19/2021,71112,11.32
Slovenia,2078932,4/22/2021,234811,11.29
San Marino,33938,3/3/2021,3829,11.28
Slovenia,2078932,4/21/2021,234067,11.26
Montenegro,628062,2/18/2021,70658,11.25
Andorra,77265,1/12/2021,8682,11.24
Slovenia,2078932,4/20/2021,233031,11.21
Czechia,10708982,2/25/2021,1198168,11.19
Slovenia,2078932,4/19/2021,232311,11.17
San Marino,33938,3/2/2021,3791,11.17
Montenegro,628062,2/17/2021,70174,11.17
Slovenia,2078932,4/18/2021,232071,11.16
Slovenia,2078932,4/17/2021,231593,11.14
Andorra,77265,1/9/2021,8586,11.11
Andorra,77265,1/10/2021,8586,11.11
Andorra,77265,1/11/2021,8586,11.11
Montenegro,628062,2/16/2021,69770,11.11
Slovenia,2078932,4/16/2021,230826,11.1
Slovenia,2078932,4/15/2021,229967,11.06
Czechia,10708982,2/24/2021,1184352,11.06
San Marino,33938,3/1/2021,3746,11.04
Montenegro,628062,2/15/2021,69294,11.03
Slovenia,2078932,4/14/2021,229076,11.02
Andorra,77265,1/8/2021,8489,10.99
Montenegro,628062,2/14/2021,68921,10.97
Slovenia,2078932,4/13/2021,227836,10.96
San Marino,33938,2/27/2021,3716,10.95
San Marino,33938,2/28/2021,3716,10.95
Slovenia,2078932,4/12/2021,226786,10.91
Czechia,10708982,2/23/2021,1168491,10.91
Montenegro,628062,2/13/2021,68476,10.9
Slovenia,2078932,4/11/2021,226499,10.89
Slovenia,2078932,4/10/2021,225950,10.87
Montenegro,628062,2/12/2021,68004,10.83
San Marino,33938,2/26/2021,3671,10.82
Slovenia,2078932,4/9/2021,224699,10.81
Czechia,10708982,2/22/2021,1157180,10.81
Andorra,77265,1/6/2021,8348,10.8
Andorra,77265,1/7/2021,8348,10.8
Czechia,10708982,2/21/2021,1153159,10.77
Andorra,77265,1/5/2021,8308,10.75
Slovenia,2078932,4/8/2021,223416,10.75
Montenegro,628062,2/11/2021,67441,10.74
Luxembourg,625976,4/30/2021,67205,10.74
Luxembourg,625976,4/29/2021,67045,10.71
Czechia,10708982,2/20/2021,1146321,10.7
Andorra,77265,1/4/2021,8249,10.68
Luxembourg,625976,4/28/2021,66826,10.68
Slovenia,2078932,4/7/2021,221890,10.67
San Marino,33938,2/25/2021,3621,10.67
Luxembourg,625976,4/27/2021,66594,10.64
Montenegro,628062,2/10/2021,66857,10.64
Slovenia,2078932,4/6/2021,220698,10.62
Slovenia,2078932,4/5/2021,220425,10.6
Luxembourg,625976,4/26/2021,66374,10.6
Andorra,77265,1/3/2021,8192,10.6
Czechia,10708982,2/19/2021,1134957,10.6
Slovenia,2078932,4/4/2021,220141,10.59
Andorra,77265,1/2/2021,8166,10.57
San Marino,33938,2/24/2021,3585,10.56
Slovenia,2078932,4/3/2021,219420,10.55
Montenegro,628062,2/9/2021,66234,10.55
Luxembourg,625976,4/23/2021,66007,10.54
Luxembourg,625976,4/24/2021,66007,10.54
Luxembourg,625976,4/25/2021,66007,10.54
Luxembourg,625976,4/22/2021,65813,10.51
Andorra,77265,1/1/2021,8117,10.51
Czechia,10708982,2/18/2021,1123252,10.49
Slovenia,2078932,4/2/2021,218114,10.49
Luxembourg,625976,4/21/2021,65604,10.48
Montenegro,628062,2/8/2021,65657,10.45
Slovenia,2078932,4/1/2021,216939,10.44
Luxembourg,625976,4/20/2021,65319,10.43
San Marino,33938,2/23/2021,3538,10.42
Andorra,77265,12/31/2020,8049,10.42
Luxembourg,625976,4/19/2021,65144,10.41
Bahrain,1701583,4/30/2021,176934,10.4
Czechia,10708982,2/17/2021,1112322,10.39
Montenegro,628062,2/7/2021,65227,10.39
Slovenia,2078932,3/31/2021,215602,10.37
Luxembourg,625976,4/16/2021,64746,10.34
Luxembourg,625976,4/17/2021,64746,10.34
Luxembourg,625976,4/18/2021,64746,10.34
Bahrain,1701583,4/29/2021,175752,10.33
Andorra,77265,12/30/2020,7983,10.33
Luxembourg,625976,4/15/2021,64549,10.31
Montenegro,628062,2/6/2021,64739,10.31
Slovenia,2078932,3/30/2021,214045,10.3
San Marino,33938,2/22/2021,3494,10.3
Luxembourg,625976,4/14/2021,64334,10.28
Czechia,10708982,2/16/2021,1099654,10.27
Bahrain,1701583,4/28/2021,174659,10.26
Andorra,77265,12/29/2020,7919,10.25
Slovenia,2078932,3/29/2021,212966,10.24
Slovenia,2078932,3/28/2021,212678,10.23
San Marino,33938,2/20/2021,3472,10.23
San Marino,33938,2/21/2021,3472,10.23
Luxembourg,625976,4/13/2021,64062,10.23
Montenegro,628062,2/5/2021,64168,10.22
Luxembourg,625976,4/12/2021,63880,10.2
Slovenia,2078932,3/27/2021,212040,10.2
Bahrain,1701583,4/27/2021,173548,10.2
Andorra,77265,12/28/2020,7875,10.19
Czechia,10708982,2/15/2021,1090860,10.19
Czechia,10708982,2/14/2021,1088009,10.16
Bahrain,1701583,4/26/2021,172576,10.14
Luxembourg,625976,4/9/2021,63467,10.14
Luxembourg,625976,4/10/2021,63467,10.14
Luxembourg,625976,4/11/2021,63467,10.14
Slovenia,2078932,3/26/2021,210785,10.14
San Marino,33938,2/19/2021,3440,10.14
Serbia,6804596,4/30/2021,689557,10.13
Montenegro,628062,2/4/2021,63633,10.13
Andorra,77265,12/27/2020,7821,10.12
Czechia,10708982,2/13/2021,1082849,10.11
Serbia,6804596,4/29/2021,687944,10.11
Andorra,77265,12/26/2020,7806,10.1
Luxembourg,625976,4/8/2021,63180,10.09
Slovenia,2078932,3/25/2021,209753,10.09
San Marino,33938,2/18/2021,3420,10.08
Serbia,6804596,4/28/2021,685937,10.08
Bahrain,1701583,4/25/2021,171370,10.07
Serbia,6804596,4/27/2021,683799,10.05
Montenegro,628062,2/3/2021,63118,10.05
Andorra,77265,12/25/2020,7756,10.04
Czechia,10708982,2/12/2021,1073966,10.03
Luxembourg,625976,4/7/2021,62793,10.03
Slovenia,2078932,3/24/2021,208588,10.03
Serbia,6804596,4/26/2021,681654,10.02
Bahrain,1701583,4/24/2021,170335,10.01
San Marino,33938,2/17/2021,3394,10
Luxembourg,625976,4/6/2021,62625,10
Serbia,6804596,4/25/2021,679667,9.99
Slovenia,2078932,3/23/2021,207298,9.97
Serbia,6804596,4/24/2021,677972,9.96
Andorra,77265,12/24/2020,7699,9.96
Bahrain,1701583,4/23/2021,169254,9.95
Montenegro,628062,2/2/2021,62476,9.95
Czechia,10708982,2/11/2021,1064952,9.94
Andorra,77265,12/23/2020,7669,9.93
Serbia,6804596,4/23/2021,675904,9.93
Slovenia,2078932,3/22/2021,206317,9.92
Luxembourg,625976,4/2/2021,62105,9.92
Luxembourg,625976,4/3/2021,62105,9.92
Luxembourg,625976,4/4/2021,62105,9.92
Luxembourg,625976,4/5/2021,62105,9.92
Slovenia,2078932,3/21/2021,206026,9.91
Serbia,6804596,4/22/2021,673520,9.9
Slovenia,2078932,3/20/2021,205509,9.89
Luxembourg,625976,4/1/2021,61881,9.89
Andorra,77265,12/22/2020,7633,9.88
Bahrain,1701583,4/22/2021,168201,9.88
San Marino,33938,2/16/2021,3352,9.88
Montenegro,628062,2/1/2021,61972,9.87
Serbia,6804596,4/21/2021,670801,9.86
Czechia,10708982,2/10/2021,1055415,9.86
Luxembourg,625976,3/31/2021,61642,9.85
Andorra,77265,12/21/2020,7602,9.84
Slovenia,2078932,3/19/2021,204482,9.84
Serbia,6804596,4/20/2021,667937,9.82
Montenegro,628062,1/31/2021,61659,9.82
Bahrain,1701583,4/21/2021,167165,9.82
Andorra,77265,12/20/2020,7577,9.81
Slovenia,2078932,3/18/2021,203544,9.79
Luxembourg,625976,3/30/2021,61255,9.79
Andorra,77265,12/19/2020,7560,9.78
San Marino,33938,2/15/2021,3317,9.77
Serbia,6804596,4/19/2021,664972,9.77
United States,331002647,4/30/2021,32346971,9.77
Luxembourg,625976,3/29/2021,61073,9.76
Bahrain,1701583,4/20/2021,166157,9.76
Czechia,10708982,2/9/2021,1045132,9.76
United States,331002647,4/29/2021,32289049,9.75
United States,331002647,4/28/2021,32230850,9.74
Slovenia,2078932,3/17/2021,202573,9.74
Montenegro,628062,1/30/2021,61202,9.74
Andorra,77265,12/18/2020,7519,9.73
Serbia,6804596,4/18/2021,662368,9.73
United States,331002647,4/27/2021,32175725,9.72
United States,331002647,4/26/2021,32124869,9.71
Serbia,6804596,4/17/2021,660299,9.7
Bahrain,1701583,4/19/2021,165118,9.7
Czechia,10708982,2/8/2021,1037405,9.69
Israel,8655541,4/28/2021,838323,9.69
Israel,8655541,4/29/2021,838407,9.69
Israel,8655541,4/30/2021,838481,9.69
United States,331002647,4/25/2021,32077178,9.69
Slovenia,2078932,3/16/2021,201497,9.69
United States,331002647,4/24/2021,32045113,9.68
Israel,8655541,4/21/2021,837492,9.68
Israel,8655541,4/22/2021,837807,9.68
Israel,8655541,4/23/2021,837892,9.68
Israel,8655541,4/24/2021,837974,9.68
Israel,8655541,4/25/2021,838024,9.68
Israel,8655541,4/26/2021,838107,9.68
Israel,8655541,4/27/2021,838217,9.68
Montenegro,628062,1/29/2021,60827,9.68
Israel,8655541,4/14/2021,836590,9.67
Israel,8655541,4/15/2021,836902,9.67
Israel,8655541,4/16/2021,836936,9.67
Israel,8655541,4/17/2021,836883,9.67
Israel,8655541,4/18/2021,837047,9.67
Israel,8655541,4/19/2021,837218,9.67
Israel,8655541,4/20/2021,837357,9.67
United States,331002647,4/23/2021,31991750,9.67
Serbia,6804596,4/16/2021,657716,9.67
San Marino,33938,2/12/2021,3278,9.66
San Marino,33938,2/13/2021,3278,9.66
San Marino,33938,2/14/2021,3278,9.66
Czechia,10708982,2/7/2021,1034975,9.66
Andorra,77265,12/17/2020,7466,9.66
Israel,8655541,4/10/2021,835813,9.66
Israel,8655541,4/11/2021,835933,9.66
Israel,8655541,4/12/2021,836158,9.66
Israel,8655541,4/13/2021,836334,9.66
Luxembourg,625976,3/26/2021,60465,9.66
Luxembourg,625976,3/27/2021,60465,9.66
Luxembourg,625976,3/28/2021,60465,9.66
Israel,8655541,4/6/2021,834920,9.65
Israel,8655541,4/7/2021,835216,9.65
Israel,8655541,4/8/2021,835486,9.65
Israel,8655541,4/9/2021,835674,9.65
United States,331002647,4/22/2021,31929351,9.65
Slovenia,2078932,3/15/2021,200579,9.65
Slovenia,2078932,3/14/2021,200374,9.64
Sweden,10099270,4/30/2021,973604,9.64
Israel,8655541,4/3/2021,834070,9.64
Israel,8655541,4/4/2021,834247,9.64
Israel,8655541,4/5/2021,834603,9.64
Andorra,77265,12/16/2020,7446,9.64
Bahrain,1701583,4/18/2021,164110,9.64
United States,331002647,4/21/2021,31862094,9.63
Israel,8655541,3/31/2021,833105,9.63
Israel,8655541,4/1/2021,833456,9.63
Israel,8655541,4/2/2021,833707,9.63
Israel,8655541,3/30/2021,832639,9.62
Luxembourg,625976,3/25/2021,60205,9.62
Czechia,10708982,2/6/2021,1030112,9.62
Serbia,6804596,4/15/2021,654870,9.62
United States,331002647,4/20/2021,31799237,9.61
Slovenia,2078932,3/13/2021,199854,9.61
Israel,8655541,3/26/2021,831383,9.61
Israel,8655541,3/27/2021,831383,9.61
Israel,8655541,3/28/2021,831924,9.61
Israel,8655541,3/29/2021,832125,9.61
Israel,8655541,3/25/2021,830845,9.6
Montenegro,628062,1/28/2021,60288,9.6
Israel,8655541,3/23/2021,829689,9.59
Israel,8655541,3/24/2021,830028,9.59
United States,331002647,4/19/2021,31737964,9.59
Bahrain,1701583,4/17/2021,163113,9.59
Serbia,6804596,4/14/2021,651899,9.58
Sweden,10099270,4/29/2021,967678,9.58
San Marino,33938,2/11/2021,3247,9.57
United States,331002647,4/18/2021,31670031,9.57
Slovenia,2078932,3/12/2021,199004,9.57
Israel,8655541,3/22/2021,828764,9.57
Luxembourg,625976,3/24/2021,59907,9.57
Israel,8655541,3/20/2021,827220,9.56
Israel,8655541,3/21/2021,827772,9.56
United States,331002647,4/17/2021,31628013,9.56
Israel,8655541,3/19/2021,826609,9.55
Andorra,77265,12/14/2020,7382,9.55
Andorra,77265,12/15/2020,7382,9.55
Czechia,10708982,2/5/2021,1021477,9.54
United States,331002647,4/16/2021,31575640,9.54
Slovenia,2078932,3/11/2021,198234,9.54
Israel,8655541,3/18/2021,825562,9.54
Luxembourg,625976,3/23/2021,59662,9.53
Montenegro,628062,1/27/2021,59825,9.53
Bahrain,1701583,4/16/2021,162089,9.53
Serbia,6804596,4/13/2021,648745,9.53
United States,331002647,4/15/2021,31495649,9.52
Israel,8655541,3/17/2021,824178,9.52
Sweden,10099270,4/28/2021,960520,9.51
Israel,8655541,3/16/2021,822703,9.5
Luxembourg,625976,3/22/2021,59497,9.5
Andorra,77265,12/13/2020,7338,9.5
United States,331002647,4/14/2021,31421360,9.49
Slovenia,2078932,3/10/2021,197374,9.49
Serbia,6804596,4/12/2021,645173,9.48
Israel,8655541,3/15/2021,820913,9.48
San Marino,33938,2/10/2021,3213,9.47
United States,331002647,4/13/2021,31345985,9.47
Bahrain,1701583,4/15/2021,160934,9.46
Czechia,10708982,2/4/2021,1013352,9.46
Israel,8655541,3/14/2021,818977,9.46
Israel,8655541,3/13/2021,817799,9.45
United States,331002647,4/12/2021,31268107,9.45
Slovenia,2078932,3/9/2021,196421,9.45
Serbia,6804596,4/11/2021,642208,9.44
Sweden,10099270,4/27/2021,953254,9.44
Montenegro,628062,1/26/2021,59262,9.44
Israel,8655541,3/12/2021,816198,9.43
United States,331002647,4/11/2021,31197877,9.43
Andorra,77265,12/12/2020,7288,9.43
Luxembourg,625976,3/19/2021,58955,9.42
Luxembourg,625976,3/20/2021,58955,9.42
Luxembourg,625976,3/21/2021,58955,9.42
Israel,8655541,3/11/2021,814250,9.41
United States,331002647,4/10/2021,31151497,9.41
Slovenia,2078932,3/8/2021,195678,9.41
Slovenia,2078932,3/7/2021,195468,9.4
Serbia,6804596,4/10/2021,639476,9.4
